Freq.	V(h)
2.54281997656159e+000	(-1.54047157365801e+002dB,-9.25816874524006e-001°)
2.56234659303320e+000	(-1.53781339449051e+002dB,-9.32927807150230e-001°)
2.58202315671080e+000	(-1.53515520958878e+002dB,-9.40093379721310e-001°)
2.60185081905679e+000	(-1.53249701886439e+002dB,-9.47314012619236e-001°)
2.62183074037579e+000	(-1.52983882222752e+002dB,-9.54590129472754e-001°)
2.64196408988251e+000	(-1.52718061958698e+002dB,-9.61922157182565e-001°)
2.66225204577024e+000	(-1.52452241085018e+002dB,-9.69310525946872e-001°)
2.68269579527971e+000	(-1.52186419592308e+002dB,-9.76755669287285e-001°)
2.70329653476866e+000	(-1.51920597471020e+002dB,-9.84258024074767e-001°)
2.72405546978176e+000	(-1.51654774711458e+002dB,-9.91818030555759e-001°)
2.74497381512123e+000	(-1.51388951303779e+002dB,-9.99436132378558e-001°)
2.76605279491790e+000	(-1.51123127237984e+002dB,-1.00711277662008e+000°)
2.78729364270281e+000	(-1.50857302503922e+002dB,-1.01484841381256e+000°)
2.80869760147948e+000	(-1.50591477091286e+002dB,-1.02264349797068e+000°)
2.83026592379658e+000	(-1.50325650989609e+002dB,-1.03049848661877e+000°)
2.85199987182123e+000	(-1.50059824188262e+002dB,-1.03841384081836e+000°)
2.87390071741292e+000	(-1.49793996676453e+002dB,-1.04639002519587e+000°)
2.89596974219787e+000	(-1.49528168443222e+002dB,-1.05442750797053e+000°)
2.91820823764408e+000	(-1.49262339477441e+002dB,-1.06252676098260e+000°)
2.94061750513687e+000	(-1.48996509767811e+002dB,-1.07068825972175e+000°)
2.96319885605505e+000	(-1.48730679302857e+002dB,-1.07891248335567e+000°)
2.98595361184769e+000	(-1.48464848070927e+002dB,-1.08719991475890e+000°)
3.00888310411140e+000	(-1.48199016060190e+002dB,-1.09555104054207e+000°)
3.03198867466828e+000	(-1.47933183258633e+002dB,-1.10396635108106e+000°)
3.05527167564446e+000	(-1.47667349654056e+002dB,-1.11244634054673e+000°)
3.07873346954917e+000	(-1.47401515234070e+002dB,-1.12099150693463e+000°)
3.10237542935456e+000	(-1.47135679986099e+002dB,-1.12960235209515e+000°)
3.12619893857595e+000	(-1.46869843897367e+002dB,-1.13827938176376e+000°)
3.15020539135287e+000	(-1.46604006954906e+002dB,-1.14702310559165e+000°)
3.17439619253060e+000	(-1.46338169145544e+002dB,-1.15583403717650e+000°)
3.19877275774238e+000	(-1.46072330455909e+002dB,-1.16471269409355e+000°)
3.22333651349230e+000	(-1.45806490872419e+002dB,-1.17365959792690e+000°)
3.24808889723872e+000	(-1.45540650381285e+002dB,-1.18267527430117e+000°)
3.27303135747841e+000	(-1.45274808968504e+002dB,-1.19176025291329e+000°)
3.29816535383133e+000	(-1.45008966619858e+002dB,-1.20091506756462e+000°)
3.32349235712604e+000	(-1.44743123320908e+002dB,-1.21014025619328e+000°)
3.34901384948575e+000	(-1.44477279056992e+002dB,-1.21943636090697e+000°)
3.37473132441508e+000	(-1.44211433813224e+002dB,-1.22880392801553e+000°)
3.40064628688744e+000	(-1.43945587574484e+002dB,-1.23824350806459e+000°)
3.42676025343314e+000	(-1.43679740325424e+002dB,-1.24775565586862e+000°)
3.45307475222807e+000	(-1.43413892050454e+002dB,-1.25734093054491e+000°)
3.47959132318318e+000	(-1.43148042733746e+002dB,-1.26699989554755e+000°)
3.50631151803457e+000	(-1.42882192359227e+002dB,-1.27673311870174e+000°)
3.53323690043432e+000	(-1.42616340910576e+002dB,-1.28654117223830e+000°)
3.56036904604198e+000	(-1.42350488371220e+002dB,-1.29642463282865e+000°)
3.58770954261676e+000	(-1.42084634724329e+002dB,-1.30638408162001e+000°)
3.61525999011047e+000	(-1.41818779952814e+002dB,-1.31642010427073e+000°)
3.64302200076114e+000	(-1.41552924039322e+002dB,-1.32653329098626e+000°)
3.67099719918738e+000	(-1.41287066966233e+002dB,-1.33672423655505e+000°)
3.69918722248341e+000	(-1.41021208715653e+002dB,-1.34699354038498e+000°)
3.72759372031492e+000	(-1.40755349269413e+002dB,-1.35734180654012e+000°)
3.75621835501556e+000	(-1.40489488609064e+002dB,-1.36776964377763e+000°)
3.78506280168425e+000	(-1.40223626715869e+002dB,-1.37827766558509e+000°)
3.81412874828319e+000	(-1.39957763570805e+002dB,-1.38886649021817e+000°)
3.84341789573663e+000	(-1.39691899154554e+002dB,-1.39953674073843e+000°)
3.87293195803044e+000	(-1.39426033447499e+002dB,-1.41028904505182e+000°)
3.90267266231237e+000	(-1.39160166429720e+002dB,-1.42112403594700e+000°)
3.93264174899316e+000	(-1.38894298080990e+002dB,-1.43204235113449e+000°)
3.96284097184836e+000	(-1.38628428380771e+002dB,-1.44304463328578e+000°)
3.99327209812097e+000	(-1.38362557308203e+002dB,-1.45413153007295e+000°)
4.02393690862487e+000	(-1.38096684842110e+002dB,-1.46530369420860e+000°)
4.05483719784902e+000	(-1.37830810960983e+002dB,-1.47656178348609e+000°)
4.08597477406245e+000	(-1.37564935642985e+002dB,-1.48790646082026e+000°)
4.11735145942013e+000	(-1.37299058865939e+002dB,-1.49933839428824e+000°)
4.14896909006956e+000	(-1.37033180607326e+002dB,-1.51085825717079e+000°)
4.18082951625825e+000	(-1.36767300844281e+002dB,-1.52246672799410e+000°)
4.21293460244195e+000	(-1.36501419553584e+002dB,-1.53416449057171e+000°)
4.24528622739383e+000	(-1.36235536711655e+002dB,-1.54595223404682e+000°)
4.27788628431435e+000	(-1.35969652294551e+002dB,-1.55783065293528e+000°)
4.31073668094208e+000	(-1.35703766277960e+002dB,-1.56980044716852e+000°)
4.34383933966536e+000	(-1.35437878637193e+002dB,-1.58186232213716e+000°)
4.37719619763477e+000	(-1.35171989347180e+002dB,-1.59401698873483e+000°)
4.41080920687650e+000	(-1.34906098382462e+002dB,-1.60626516340250e+000°)
4.44468033440657e+000	(-1.34640205717189e+002dB,-1.61860756817310e+000°)
4.47881156234596e+000	(-1.34374311325110e+002dB,-1.63104493071653e+000°)
4.51320488803660e+000	(-1.34108415179569e+002dB,-1.64357798438525e+000°)
4.54786232415823e+000	(-1.33842517253497e+002dB,-1.65620746825984e+000°)
4.58278589884621e+000	(-1.33576617519407e+002dB,-1.66893412719560e+000°)
4.61797765581018e+000	(-1.33310715949387e+002dB,-1.68175871186888e+000°)
4.65343965445367e+000	(-1.33044812515095e+002dB,-1.69468197882434e+000°)
4.68917396999463e+000	(-1.32778907187749e+002dB,-1.70770469052240e+000°)
4.72518269358684e+000	(-1.32512999938122e+002dB,-1.72082761538702e+000°)
4.76146793244229e+000	(-1.32247090736536e+002dB,-1.73405152785420e+000°)
4.79803180995453e+000	(-1.31981179552855e+002dB,-1.74737720842062e+000°)
4.83487646582288e+000	(-1.31715266356475e+002dB,-1.76080544369285e+000°)
4.87200405617766e+000	(-1.31449351116319e+002dB,-1.77433702643702e+000°)
4.90941675370640e+000	(-1.31183433800832e+002dB,-1.78797275562888e+000°)
4.94711674778091e+000	(-1.30917514377968e+002dB,-1.80171343650431e+000°)
4.98510624458549e+000	(-1.30651592815187e+002dB,-1.81555988061035e+000°)
5.02338746724596e+000	(-1.30385669079445e+002dB,-1.82951290585649e+000°)
5.06196265595981e+000	(-1.30119743137188e+002dB,-1.84357333656676e+000°)
5.10083406812726e+000	(-1.29853814954342e+002dB,-1.85774200353205e+000°)
5.14000397848337e+000	(-1.29587884496306e+002dB,-1.87201974406289e+000°)
5.17947467923117e+000	(-1.29321951727944e+002dB,-1.88640740204283e+000°)
5.21924848017580e+000	(-1.29056016613577e+002dB,-1.90090582798228e+000°)
5.25932770885963e+000	(-1.28790079116974e+002dB,-1.91551587907271e+000°)
5.29971471069854e+000	(-1.28524139201342e+002dB,-1.93023841924165e+000°)
5.34041184911913e+000	(-1.28258196829320e+002dB,-1.94507431920779e+000°)
5.38142150569702e+000	(-1.27992251962969e+002dB,-1.96002445653688e+000°)
5.42274608029625e+000	(-1.27726304563763e+002dB,-1.97508971569808e+000°)
5.46438799120969e+000	(-1.27460354592579e+002dB,-1.99027098812083e+000°)
5.50634967530055e+000	(-1.27194402009689e+002dB,-2.00556917225215e+000°)
5.54863358814505e+000	(-1.26928446774750e+002dB,-2.02098517361454e+000°)
5.59124220417603e+000	(-1.26662488846796e+002dB,-2.03651990486458e+000°)
5.63417801682780e+000	(-1.26396528184224e+002dB,-2.05217428585169e+000°)
5.67744353868206e+000	(-1.26130564744791e+002dB,-2.06794924367791e+000°)
5.72104130161492e+000	(-1.25864598485596e+002dB,-2.08384571275782e+000°)
5.76497385694506e+000	(-1.25598629363077e+002dB,-2.09986463487933e+000°)
5.80924377558305e+000	(-1.25332657332995e+002dB,-2.11600695926483e+000°)
5.85385364818177e+000	(-1.25066682350429e+002dB,-2.13227364263307e+000°)
5.89880608528806e+000	(-1.24800704369759e+002dB,-2.14866564926150e+000°)
5.94410371749542e+000	(-1.24534723344662e+002dB,-2.16518395104935e+000°)
5.98974919559803e+000	(-1.24268739228095e+002dB,-2.18182952758118e+000°)
6.03574519074580e+000	(-1.24002751972289e+002dB,-2.19860336619109e+000°)
6.08209439460074e+000	(-1.23736761528732e+002dB,-2.21550646202746e+000°)
6.12879951949444e+000	(-1.23470767848162e+002dB,-2.23253981811853e+000°)
6.17586329858681e+000	(-1.23204770880556e+002dB,-2.24970444543837e+000°)
6.22328848602602e+000	(-1.22938770575113e+002dB,-2.26700136297367e+000°)
6.27107785710967e+000	(-1.22672766880247e+002dB,-2.28443159779100e+000°)
6.31923420844720e+000	(-1.22406759743570e+002dB,-2.30199618510487e+000°)
6.36776035812355e+000	(-1.22140749111887e+002dB,-2.31969616834633e+000°)
6.41665914586406e+000	(-1.21874734931174e+002dB,-2.33753259923245e+000°)
6.46593343320066e+000	(-1.21608717146573e+002dB,-2.35550653783632e+000°)
6.51558610363933e+000	(-1.21342695702373e+002dB,-2.37361905265750e+000°)
6.56562006282883e+000	(-1.21076670542001e+002dB,-2.39187122069383e+000°)
6.61603823873074e+000	(-1.20810641608009e+002dB,-2.41026412751315e+000°)
6.66684358179081e+000	(-1.20544608842054e+002dB,-2.42879886732646e+000°)
6.71803906511160e+000	(-1.20278572184892e+002dB,-2.44747654306123e+000°)
6.76962768462651e+000	(-1.20012531576360e+002dB,-2.46629826643579e+000°)
6.82161245927503e+000	(-1.19746486955361e+002dB,-2.48526515803436e+000°)
6.87399643117946e+000	(-1.19480438259850e+002dB,-2.50437834738272e+000°)
6.92678266582292e+000	(-1.19214385426821e+002dB,-2.52363897302494e+000°)
6.97997425222874e+000	(-1.18948328392292e+002dB,-2.54304818260051e+000°)
7.03357430314123e+000	(-1.18682267091285e+002dB,-2.56260713292257e+000°)
7.08758595520782e+000	(-1.18416201457817e+002dB,-2.58231699005674e+000°)
7.14201236916264e+000	(-1.18150131424880e+002dB,-2.60217892940076e+000°)
7.19685673001146e+000	(-1.17884056924426e+002dB,-2.62219413576520e+000°)
7.25212224721811e+000	(-1.17617977887352e+002dB,-2.64236380345457e+000°)
7.30781215489224e+000	(-1.17351894243482e+002dB,-2.66268913634963e+000°)
7.36392971197865e+000	(-1.17085805921550e+002dB,-2.68317134799040e+000°)
7.42047820244794e+000	(-1.16819712849186e+002dB,-2.70381166166003e+000°)
7.47746093548871e+000	(-1.16553614952895e+002dB,-2.72461131046959e+000°)
7.53488124570123e+000	(-1.16287512158040e+002dB,-2.74557153744365e+000°)
7.59274249329253e+000	(-1.16021404388827e+002dB,-2.76669359560689e+000°)
7.65104806427310e+000	(-1.15755291568283e+002dB,-2.78797874807162e+000°)
7.70980137065500e+000	(-1.15489173618242e+002dB,-2.80942826812597e+000°)
7.76900585065151e+000	(-1.15223050459321e+002dB,-2.83104343932335e+000°)
7.82866496887840e+000	(-1.14956922010907e+002dB,-2.85282555557274e+000°)
7.88878221655660e+000	(-1.14690788191131e+002dB,-2.87477592122981e+000°)
7.94936111171655e+000	(-1.14424648916855e+002dB,-2.89689585118917e+000°)
8.01040519940408e+000	(-1.14158504103647e+002dB,-2.91918667097767e+000°)
8.07191805188783e+000	(-1.13892353665764e+002dB,-2.94164971684838e+000°)
8.13390326886832e+000	(-1.13626197516129e+002dB,-2.96428633587604e+000°)
8.19636447768859e+000	(-1.13360035566313e+002dB,-2.98709788605321e+000°)
8.25930533354650e+000	(-1.13093867726511e+002dB,-3.01008573638762e+000°)
8.32272951970858e+000	(-1.12827693905521e+002dB,-3.03325126700047e+000°)
8.38664074772561e+000	(-1.12561514010723e+002dB,-3.05659586922600e+000°)
8.45104275764983e+000	(-1.12295327948058e+002dB,-3.08012094571198e+000°)
8.51593931825376e+000	(-1.12029135622001e+002dB,-3.10382791052140e+000°)
8.58133422725078e+000	(-1.11762936935543e+002dB,-3.12771818923526e+000°)
8.64723131151737e+000	(-1.11496731790165e+002dB,-3.15179321905653e+000°)
8.71363442731703e+000	(-1.11230520085814e+002dB,-3.17605444891527e+000°)
8.78054746052598e+000	(-1.10964301720881e+002dB,-3.20050333957496e+000°)
8.84797432686054e+000	(-1.10698076592173e+002dB,-3.22514136373995e+000°)
8.91591897210628e+000	(-1.10431844594892e+002dB,-3.24997000616422e+000°)
8.98438537234894e+000	(-1.10165605622609e+002dB,-3.27499076376135e+000°)
9.05337753420706e+000	(-1.09899359567235e+002dB,-3.30020514571570e+000°)
9.12289949506652e+000	(-1.09633106318999e+002dB,-3.32561467359494e+000°)
9.19295532331673e+000	(-1.09366845766420e+002dB,-3.35122088146388e+000°)
9.26354911858878e+000	(-1.09100577796279e+002dB,-3.37702531599952e+000°)
9.33468501199529e+000	(-1.08834302293592e+002dB,-3.40302953660758e+000°)
9.40636716637218e+000	(-1.08568019141584e+002dB,-3.42923511554023e+000°)
9.47859977652230e+000	(-1.08301728221660e+002dB,-3.45564363801542e+000°)
9.55138706946087e+000	(-1.08035429413375e+002dB,-3.48225670233738e+000°)
9.62473330466289e+000	(-1.07769122594405e+002dB,-3.50907592001859e+000°)
9.69864277431234e+000	(-1.07502807640519e+002dB,-3.53610291590355e+000°)
9.77311980355341e+000	(-1.07236484425547e+002dB,-3.56333932829341e+000°)
9.84816875074358e+000	(-1.06970152821353e+002dB,-3.59078680907259e+000°)
9.92379400770869e+000	(-1.06703812697797e+002dB,-3.61844702383676e+000°)
9.99999999999990e+000	(-1.06437463922711e+002dB,-3.64632165202238e+000°)
1.00767911871527e+001	(-1.06171106361863e+002dB,-3.67441238703769e+000°)
1.01541720629480e+001	(-1.05904739878923e+002dB,-3.70272093639554e+000°)
1.02321471556748e+001	(-1.05638364335435e+002dB,-3.73124902184770e+000°)
1.03107210283955e+001	(-1.05371979590777e+002dB,-3.75999837952078e+000°)
1.03898982792127e+001	(-1.05105585502132e+002dB,-3.78897076005391e+000°)
1.04696835415385e+001	(-1.04839181924450e+002dB,-3.81816792873818e+000°)
1.05500814843654e+001	(-1.04572768710415e+002dB,-3.84759166565770e+000°)
1.06310968125398e+001	(-1.04306345710406e+002dB,-3.87724376583251e+000°)
1.07127342670369e+001	(-1.04039912772464e+002dB,-3.90712603936321e+000°)
1.07949986252388e+001	(-1.03773469742251e+002dB,-3.93724031157754e+000°)
1.08778947012133e+001	(-1.03507016463018e+002dB,-3.96758842317871e+000°)
1.09614273459963e+001	(-1.03240552775560e+002dB,-3.99817223039574e+000°)
1.10456014478752e+001	(-1.02974078518182e+002dB,-4.02899360513559e+000°)
1.11304219326751e+001	(-1.02707593526656e+002dB,-4.06005443513731e+000°)
1.12158937640473e+001	(-1.02441097634185e+002dB,-4.09135662412824e+000°)
1.13020219437594e+001	(-1.02174590671356e+002dB,-4.12290209198221e+000°)
1.13888115119883e+001	(-1.01908072466106e+002dB,-4.15469277487974e+000°)
1.14762675476149e+001	(-1.01641542843671e+002dB,-4.18673062547046e+000°)
1.15643951685214e+001	(-1.01375001626553e+002dB,-4.21901761303755e+000°)
1.16531995318909e+001	(-1.01108448634467e+002dB,-4.25155572366449e+000°)
1.17426858345092e+001	(-1.00841883684303e+002dB,-4.28434696040388e+000°)
1.18328593130686e+001	(-1.00575306590077e+002dB,-4.31739334344868e+000°)
1.19237252444749e+001	(-1.00308717162888e+002dB,-4.35069691030563e+000°)
1.20152889461557e+001	(-1.00042115210871e+002dB,-4.38425971597104e+000°)
1.21075557763716e+001	(-9.97755005391473e+001dB,-4.41808383310908e+000°)
1.22005311345303e+001	(-9.95088729497786e+001dB,-4.45217135223231e+000°)
1.22942204615019e+001	(-9.92422322417175e+001dB,-4.48652438188478e+000°)
1.23886292399376e+001	(-9.89755782107578e+001dB,-4.52114504882771e+000°)
1.24837629945908e+001	(-9.87089106494836e+001dB,-4.55603549822769e+000°)
1.25796272926397e+001	(-9.84422293472183e+001dB,-4.59119789384732e+000°)
1.26762277440139e+001	(-9.81755340899720e+001dB,-4.62663441823902e+000°)
1.27735700017221e+001	(-9.79088246603886e+001dB,-4.66234727294091e+000°)
1.28716597621833e+001	(-9.76421008376919e+001dB,-4.69833867867586e+000°)
1.29705027655599e+001	(-9.73753623976302e+001dB,-4.73461087555336e+000°)
1.30701047960935e+001	(-9.71086091124209e+001dB,-4.77116612327413e+000°)
1.31704716824439e+001	(-9.68418407506937e+001dB,-4.80800670133767e+000°)
1.32716092980297e+001	(-9.65750570774328e+001dB,-4.84513490925292e+000°)
1.33735235613721e+001	(-9.63082578539182e+001dB,-4.88255306675180e+000°)
1.34762204364416e+001	(-9.60414428376660e+001dB,-4.92026351400599e+000°)
1.35797059330063e+001	(-9.57746117823681e+001dB,-4.95826861184679e+000°)
1.36839861069845e+001	(-9.55077644378299e+001dB,-4.99657074198835e+000°)
1.37890670607983e+001	(-9.52409005499081e+001dB,-5.03517230725399e+000°)
1.38949549437312e+001	(-9.49740198604469e+001dB,-5.07407573180590e+000°)
1.40016559522877e+001	(-9.47071221072127e+001dB,-5.11328346137860e+000°)
1.41091763305558e+001	(-9.44402070238289e+001dB,-5.15279796351529e+000°)
1.42175223705730e+001	(-9.41732743397081e+001dB,-5.19262172780847e+000°)
1.43267004126939e+001	(-9.39063237799844e+001dB,-5.23275726614347e+000°)
